Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Thursday,Under 18,Male,Elementary school,5-10yr,Other,0.0,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Serious Injury,23
Monday,Over 51,Male,Elementary school,1-2yr,Public (12 seats),0.0, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Turnover,na,na,na,na,Not a Pedestrian,Other,Slight Injury,20
Monday,31-50,Male,Elementary school,5-10yr,Lorry (11?40Q),0.0,Office areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,20
Friday,18-30,Male,Elementary school,2-5yr,Other,5.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Unknown,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,17
Friday,31-50,Male,Elementary school,5-10yr,Other,0.0, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,17
Friday,18-30,Male,Junior high school,Above 10yr,Pick up upto 10Q,0.0,  Recreational areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,17
Saturday,18-30,Female,Junior high school,Above 10yr,Automobile,0.0,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Turnover,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,1
Saturday,18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,1
Wednesday,31-50,Male,Elementary school,2-5yr,Automobile,5.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,18
Wednesday,18-30,Male,Elementary school,Above 10yr,Pick up upto 10Q,0.0,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,18
Friday,31-50,Male,Junior high school,Above 10yr,Public (12 seats),0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,15
Friday,18-30,Male,Junior high school,Below 1yr,Other,0.0,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,Driver or rider,Male,18-30,2,Not a Pedestrian,No priority to pedestrian,Slight Injury,15
Tuesday,18-30,Male,Junior high school,2-5yr,Lorry (41?100Q),0.0,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,No priority to vehicle,Serious Injury,12
Monday,Over 51,Male,Elementary school,5-10yr,Other,0.0,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Turnover,Slight Injury,8
Saturday,31-50,Male,Elementary school,1-2yr,Lorry (41?100Q),13.0,Other,other,Tangent road with flat terrain,No junction,Other,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Pedestrian,Male,Under 18,3,Not a Pedestrian,Driving to the left,Slight Injury,17
Sunday,18-30,Male,Elementary school,5-10yr,Ridden horse,0.0,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Reversing,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,0
Sunday,18-30,Male,Junior high school,1-2yr,Automobile,5.0, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving to the left,Slight Injury,0
Sunday,18-30,Male,Junior high school,5-10yr,Automobile,5.0,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,3,Going straight,Passenger,Male,Under 18,3,Not a Pedestrian,Driving carelessly,Slight Injury,0
Wednesday,31-50,Male,Elementary school,1-2yr,Stationwagen,5.0, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,15
Saturday,Under 18,Male,Junior high school,5-10yr,Other,5.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,Over 51,3,Not a Pedestrian,Driving carelessly,Slight Injury,18
Friday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),2.0,School areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Moving Backward,Serious Injury,5
Friday,31-50,Male,Junior high school,Below 1yr,Stationwagen,1.0,Other,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Reversing,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,22
Friday,31-50,Male,High school,Below 1yr,Public (12 seats),0.0,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving carelessly,Serious Injury,6
Friday,31-50,Male,Junior high school,5-10yr,Automobile,0.0,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Under 18,3,Not a Pedestrian,Driving carelessly,Serious Injury,6
Thursday,Under 18,Male,Junior high school,Below 1yr,Public (12 seats),5.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,2,Going straight,Pedestrian,Male,31-50,3,Not a Pedestrian,Driving carelessly,Serious Injury,17
Thursday,Under 18,Male,Junior high school,2-5yr,Lorry (41?100Q),0.0,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,2,Parked,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,17
Friday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),0.0, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,1,4,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,4
Friday,18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Unknown,Driver or rider,Male,18-30,3,Not a Pedestrian,Overtaking,Slight Injury,4
Saturday,18-30,Male,Junior high school,5-10yr,Other,5.0,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Under 18,1,Not a Pedestrian,No distancing,Slight Injury,15
Friday,Under 18,Male,Junior high school,5-10yr,Automobile,5.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Stopping,Driver or rider,Male,18-30,3,Not a Pedestrian,Other,Slight Injury,8
Sunday,18-30,Male,Illiterate,2-5yr,Automobile,0.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,0
Sunday,31-50,Male,Junior high school,Below 1yr,Bajaj,0.0,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Overtaking,Slight Injury,0
Sunday,18-30,Male,Junior high school,1-2yr,Automobile,0.0,Office areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining and Windy,Collision with roadside objects,2,1,Reversing,na,na,na,na,Not a Pedestrian,Other,Slight Injury,0
Sunday,18-30,Male,Elementary school,2-5yr,Lorry (41?100Q),0.0,School areas,Double carriageway (median),Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving to the left,Slight Injury,0
Saturday,18-30,Female,Elementary school,2-5yr,Lorry (11?40Q),0.0,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Overtaking,Slight Injury,15
Saturday,31-50,Male,Junior high school,5-10yr,Automobile,0.0, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,15
Saturday,Under 18,Male,Junior high school,5-10yr,Automobile,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,With Train,2,1,Moving Backward,Driver or rider,Male,Over 51,3,Not a Pedestrian,Other,Slight Injury,16
Saturday,Under 18,Male,Junior high school,Above 10yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,16
Friday,Under 18,Male,Junior high school,Above 10yr,Public (13?45 seats),0.0,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,1
Friday,31-50,Male,Junior high school,Above 10yr,Public (12 seats),0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,1
Monday,Over 51,Male,Junior high school,5-10yr,Other,0.0,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Monday,31-50,Male,Junior high school,5-10yr,Automobile,1.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Unknown,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Monday,31-50,Male,Junior high school,2-5yr,Automobile,2.0, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Driving to the left,Slight Injury,19
Tuesday,18-30,Male,Elementary school,5-10yr,Public (13?45 seats),0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,19
Tuesday,18-30,Male,Junior high school,2-5yr,Public (13?45 seats),2.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Gravel roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Unknown or other,Moving Backward,Slight Injury,19
Saturday,Over 51,Male,High school,5-10yr,Automobile,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Turnover,na,na,na,na,Not a Pedestrian,Driving at high speed,Slight Injury,17
Saturday,18-30,Male,Junior high school,Above 10yr,Other,8.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,17
Sunday,31-50,Male,Junior high school,2-5yr,Pick up upto 10Q,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,21
Monday,Over 51,Male,High school,Above 10yr,Automobile,0.0, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,Male,18-30,2,Not a Pedestrian,No priority to vehicle,Slight Injury,14
Monday,Over 51,Male,Elementary school,1-2yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,14
Sunday,Over 51,Male,Junior high school,5-10yr,Other,0.0, Industrial areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,17
Saturday,18-30,Male,Above high school,5-10yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,21
Saturday,18-30,Male,Junior high school,5-10yr,Automobile,0.0,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,21
Tuesday,18-30,Male,Junior high school,Above 10yr,Automobile,8.0, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,7
